sample_id,ucdb_id,city_name,country,country_un_m49,ucdb_region,income_group_ucdb,population_2025,area_km2_2025,is_capital,centroid_lon,centroid_lat,xmin,ymin,xmax,ymax,sample_population_weight,ucdb_id_r,city_name_r,country_r,ucdb_region_r,income_group_ucdb_r,population_2025_r,area_km2_2025_r,status,cli_returncode,download_elapsed_s,n_bbox,n_buildings,n_height,n_num_floors,n_vertical_evidence,bad_lines,height_pct,floors_pct,vertical_evidence_pct,power_ok,hot_days_ge32,hot_days_ge35,hot_days_ge40,t2m_max_p95,t2m_max_max,heat_readiness_mismatch
ucdb_030,3790,Hidalgo del Parral,México,Mexico,Latin America and the Caribbean,Upper Middle,115314.3604,28.0,0,-105.6781980714466,26.9330145946261,-105.72684437644344,26.90917594179686,-105.63622567955908,26.95987308793801,0.0004414174761588,3790,Hidalgo del Parral,México,Latin America and the Caribbean,Upper Middle,115314.3604,28.0,downloaded,0.0,274.4,52202,47117,0,11,11,0,0.0,0.0233,0.0233,True,89,35,0,36.9,39.23,False
ucdb_031,2121,Kenge,Democratic Republic of the Congo,Democratic Republic of the Congo,Sub-Saharan Africa,Low income,108939.9387,20.0,0,17.04127617227804,-4.816769698634496,17.01923959509929,-4.846734949852039,17.06923736124235,-4.790044360880275,0.0004170165157839,2121,Kenge,Democratic Republic of the Congo,Sub-Saharan Africa,Low income,108939.9387,20.0,downloaded,0.0,12.1,16605,15455,1,1,1,0,0.0065,0.0065,0.0065,True,234,79,0,36.04,36.99,True
ucdb_032,538,Amora,Portugal,Portugal,Europe,High income,100347.4849,23.0,0,-9.103259108508734,38.61935214665718,-9.141083218603908,38.58827256150374,-9.07130395739319,38.65043678218059,0.0003841250419271,538,Amora,Portugal,Europe,High income,100347.4849,23.0,downloaded,0.0,14.0,15781,13022,37,145,152,0,0.2841,1.1135,1.1673,True,0,0,0,23.73,29.34,False
ucdb_033,4436,Sariwon,North Korea,Dem. People's Republic of Korea,Eastern and South-Eastern Asia,Low income,401117.4345,24.0,0,125.76077629364754,38.50874658057322,125.71680444973506,38.48175222840888,125.80007123862156,38.53500500215488,0.0015354570321175,4436,Sariwon,North Korea,Eastern and South-Eastern Asia,Low income,401117.4345,24.0,downloaded,0.0,13.1,378,344,0,12,12,0,0.0,3.4884,3.4884,True,13,0,0,31.51,34.71,False
ucdb_034,117,Bulawayo,Zimbabwe,Zimbabwe,Sub-Saharan Africa,Lower Middle,492010.9037,173.0,0,28.55088826935646,-20.16271466248136,28.45767523521206,-20.227111735960342,28.63969403561009,-20.102828963461224,0.0018833925852821,117,Bulawayo,Zimbabwe,Sub-Saharan Africa,Lower Middle,492010.9037,173.0,downloaded,0.0,21.4,183318,160208,12,184,187,0,0.0075,0.1149,0.1167,True,85,35,0,35.92,37.73,False
ucdb_035,5296,Matsumoto,Japan,Japan,Eastern and South-Eastern Asia,High income,176025.0298,65.0,0,137.96411301114745,36.200184391886616,137.9239699303396,36.10889193593806,138.01612060200637,36.26680657928384,0.0006738148147861,5296,Matsumoto,Japan,Eastern and South-Eastern Asia,High income,176025.0298,65.0,downloaded,0.0,19.0,114277,86154,1,282,282,0,0.0012,0.3273,0.3273,True,0,0,0,27.19,28.7,False
ucdb_036,7400,Bilimora,India,India,Central and Southern Asia,Lower Middle,100109.5797,11.0,0,72.97604513836792,20.76799725559305,72.95042497838864,20.749515946005506,73.00491122087524,20.78270748467005,0.0003832143529844,7400,Bilimora,India,Central and Southern Asia,Lower Middle,100109.5797,11.0,downloaded,0.0,32.7,18079,14559,0,0,0,0,0.0,0.0,0.0,True,195,129,56,42.06,45.24,True
ucdb_037,5782,Aleta Wendo,Ethiopia,Ethiopia,Sub-Saharan Africa,Low income,142203.2541,10.0,0,38.42230976860954,6.605153872124399,38.40188397439587,6.588937301323817,38.44273645599643,6.621370646440829,0.0005443467865464,5782,Aleta Wendo,Ethiopia,Sub-Saharan Africa,Low income,142203.2541,10.0,downloaded,0.0,14.5,15212,13087,0,0,0,0,0.0,0.0,0.0,True,4,0,0,30.56,32.57,False
ucdb_038,3436,Batangas City,Philippines,Philippines,Eastern and South-Eastern Asia,Lower Middle,430499.2173,119.0,0,121.03027777436408,13.771160349511808,120.90655103226072,13.710306094211898,121.1227612919363,13.832982926084917,0.0016479289945308,3436,Batangas City,Philippines,Eastern and South-Eastern Asia,Lower Middle,430499.2173,119.0,downloaded,0.0,23.9,168318,119861,765,1987,2007,0,0.6382,1.6578,1.6744,True,91,38,0,36.02,37.5,False
ucdb_039,5355,Ain Mlila,Algeria,Algeria,Northern Africa and Western Asia,Lower Middle,102895.2182,17.0,0,6.570523614606135,36.0374567626174,6.545025626435046,36.01244731992442,6.591930031296023,36.06504796324776,0.0003938776347465,5355,Ain Mlila,Algeria,Northern Africa and Western Asia,Lower Middle,102895.2182,17.0,downloaded,0.0,11.5,8343,7620,0,127,127,0,0.0,1.6667,1.6667,True,94,57,20,40.21,43.96,False
