ucdb_id,selected_simulations,pi_hat
379,198,0.0495
3452,199,0.04975
6526,222,0.0555
895,1225,0.30625
4992,394,0.0985
4993,992,0.248
6530,203,0.05075
1407,210,0.0525
1411,206,0.0515
8062,191,0.04775
1918,700,0.175
2433,185,0.04625
906,683,0.17075
7052,195,0.04875
2964,427,0.10675
7573,187,0.04675
7574,302,0.0755
2455,958,0.2395
1432,412,0.103
3480,675,0.16875
2454,1141,0.28525
9628,42,0.0105
7582,215,0.05375
927,220,0.055
4512,504,0.126
7585,200,0.05
4003,203,0.05075
420,206,0.0515
439,179,0.04475
6584,191,0.04775
951,220,0.055
5563,422,0.1055
4540,1213,0.30325
6591,209,0.05225
7103,209,0.05225
3010,197,0.04925
4549,523,0.13075
6092,546,0.1365
3533,726,0.1815
4557,202,0.0505
5583,210,0.0525
2003,742,0.1855
467,201,0.05025
3029,936,0.234
7638,223,0.05575
10207,45,0.01125
6625,218,0.0545
2530,320,0.08
10211,41,0.01025
8164,163,0.04075
4069,192,0.048
997,209,0.05225
6630,400,0.1
2537,704,0.176
1002,204,0.051
6123,422,0.1055
1006,1129,0.28225
6128,572,0.143
1009,961,0.24025
2549,201,0.05025
503,632,0.158
1016,1323,0.33075
2555,245,0.06125
2044,207,0.05175
